title_neg,title_neu,title_pos,title_compound,release.name_neg,release.name_neu,release.name_pos,release.name_compound
0.0,1.0,0.0,0.0,0.762,0.238,0.0,-0.4939
0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
0.0,0.333,0.667,0.6124,0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0,0.408,0.141,0.451,0.0772
0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
0.512,0.488,0.0,-0.2732,0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
0.0,0.6,0.4,0.25,0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
0.0,0.5,0.5,0.25,0.0,1.0,0.0,0.0
0.0,0.333,0.667,0.25,0.434,0.566,0.0,-0.3182
0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0,0.508,0.492,0.4404
0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
0.375,0.625,0.0,-0.34,0.615,0.385,0.0,-0.1531
0.0,1.0,0.0,0.0,0.0,0.471,0.529,0.6697
0.0,0.545,0.455,0.3612,0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
0.444,0.556,0.0,-0.34,0.347,0.0,0.653,0.3612
0.0,0.556,0.444,0.4939,0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0,0.417,0.583,0.6369
0.355,0.645,0.0,-0.296,0.0,0.417,0.583,0.6369
0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0,0.625,0.375,0.0516
0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
